frequency,amplitude
1340,9.6
1342,6.0
1342,8.6
1346,11.9
1347,7.0
1348,14.7
1348,6.4
1348,17.8
1349,21.4
1351,28.9
1352,29.3
1353,27.2
1354,25.4
1354,30.1
1355,28.3
1357,24.7
1358,27.8
1360,21.2
1365,19.0
1365,16.1
1368,14.8
1370,11.4
1373,11.7
1375,8.0
1381,11.2
1382,13.4
1383,16.1
1388,21.5
1389,25.4
1390,25.0
1394,23.0
1395,17.6
1399,15.2
1402,10.4
1402,11.1
1407,9.9
1409,19.2
1410,10.4
